ID,Biome,Latitude,Locality ,State,Lat_grouple,Length.mm,13 CS unscaled,13 CS scaled,18 CS unscaled,18 CS scaled
ARS 002,Amazon,-2.864,ARS,Amazonas,Low latitude,2.5121,821.401991,2.683403315,736.19,2.405027877
ARS 003,Amazon,-2.864,ARS,Amazonas,Low latitude,3.0057,964.3494419,3.150392278,830.88,2.71436662
ARS 004,Amazon,-2.864,ARS,Amazonas,Low latitude,3.0195,979.8596446,3.2010619,835.74,2.730243548
ARS 005,Amazon,-2.864,ARS,Amazonas,Low latitude,2.9067,944.9653636,3.087067255,820.51,2.680489307
ARS 006,Amazon,-2.864,ARS,Amazonas,Low latitude,2.8672,923.8257411,3.018007119,810.57,2.648016743
ARS 007,Amazon,-2.864,ARS,Amazonas,Low latitude,2.9336,959.6023215,3.134884111,838.14,2.738084006
ARS 008,Amazon,-2.864,ARS,Amazonas,Low latitude,3.0717,993.0134401,3.244033477,875.61,2.86049316
ARS 009,Amazon,-2.864,ARS,Amazonas,Low latitude,3.1999,1028.988226,3.361557979,899.3,2.937885015
ARS 010,Amazon,-2.864,ARS,Amazonas,Low latitude,3.2727,1069.404148,3.493591038,936.47,3.059314111
ARS 011,Amazon,-2.864,ARS,Amazonas,Low latitude,3.0073,974.7079247,3.184231965,854.41,2.791235779
ARS 012,Amazon,-2.864,ARS,Amazonas,Low latitude,2.887,946.3571451,3.091614006,820.75,2.681273353
ARS 013,Amazon,-2.864,ARS,Amazonas,Low latitude,2.8932,941.2137009,3.074811107,815.83,2.665200414
ARS 014,Amazon,-2.864,ARS,Amazonas,Low latitude,2.9779,962.9205575,3.145724315,840.7,2.746447162
ARS 016,Amazon,-2.864,ARS,Amazonas,Low latitude,2.8353,921.9032988,3.011726773,791.25,2.584901055
ARS 017,Amazon,-2.864,ARS,Amazonas,Low latitude,2.9487,952.6440937,3.112152572,832.76,2.720508313
ARS 019,Amazon,-2.864,ARS,Amazonas,Low latitude,2.4947,807.1105157,2.636715101,701.61,2.292059942
ARS 020,Amazon,-2.864,ARS,Amazonas,Low latitude,2.8733,932.3381691,3.045816008,823.42,2.689995863
APR 001,Amazon,-3.028,APR,Amazonas,Low latitude,2.75,881.6443553,2.880206539,768.2,2.509599988
APR 002,Amazon,-3.028,APR,Amazonas,Low latitude,2.86,927.6307289,3.030437472,821.84,2.684834228
APR 003,Amazon,-3.028,APR,Amazonas,Low latitude,3.17,1019.387146,3.330192619,897.43,2.931775992
APR 004,Amazon,-3.028,APR,Amazonas,Low latitude,3.09,1007.216041,3.290431352,885.1,2.891495638
APR 005,Amazon,-3.028,APR,Amazonas,Low latitude,3.05,1000.455358,3.268345162,878.26,2.869150332
APR 006,Amazon,-3.028,APR,Amazonas,Low latitude,3.09,1003.473199,3.27820402,873.67,2.854155456
APR 007,Amazon,-3.028,APR,Amazonas,Low latitude,3.23,1046.096554,3.417448449,904.98,2.956440767
APR 008,Amazon,-3.028,APR,Amazonas,Low latitude,3.02,988.1477622,3.228138,858.34,2.804074529
APR 009,Amazon,-3.028,APR,Amazonas,Low latitude,2.83,923.1237937,3.015713956,806.16,2.633609901
APR 011,Amazon,-3.028,APR,Amazonas,Low latitude,3.3015,1061.412702,3.467484122,932.1,3.045037944
APR 012,Amazon,-3.028,APR,Amazonas,Low latitude,3.2671,1064.569469,3.477796831,940.88,3.073720953
APR 013,Amazon,-3.028,APR,Amazonas,Low latitude,2.7664,899.1015173,2.937236601,786.25,2.568566767
APR 014,Amazon,-3.028,APR,Amazonas,Low latitude,2.8524,911.2891123,2.977051738,782.62,2.556708074
APR 015,Amazon,-3.028,APR,Amazonas,Low latitude,2.7277,887.2002636,2.8983569,752.3,2.457656952
APR 016,Amazon,-3.028,APR,Amazonas,Low latitude,3.0582,987.3438338,3.225511681,865.72,2.828183938
APR 017,Amazon,-3.028,APR,Amazonas,Low latitude,2.8027,904.4210218,2.954614664,787.34,2.572127642
APR 018,Amazon,-3.028,APR,Amazonas,Low latitude,2.856,926.5022728,3.026750966,806.26,2.633936587
APR 019,Amazon,-3.028,APR,Amazonas,Low latitude,3.0202,981.5333373,3.206529616,860.63,2.811555633
APR 020,Amazon,-3.028,APR,Amazonas,Low latitude,2.7602,895.6271546,2.925886353,774.35,2.529691162
APR 021,Amazon,-3.028,APR,Amazonas,Low latitude,2.7161,867.898523,2.835300862,753.67,2.462132547
APR 022,Amazon,-3.028,APR,Amazonas,Low latitude,2.811,915.9563308,2.992298876,798.99,2.610186532
APR 023,Amazon,-3.028,APR,Amazonas,Low latitude,3.0402,984.1550847,3.215094492,861.4,2.814071113
APR 024,Amazon,-3.028,APR,Amazonas,Low latitude,3.2703,1051.46301,3.434979897,904.6,2.955199361
APR 025,Amazon,-3.028,APR,Amazonas,Low latitude,2.8941,932.9532101,3.04782526,811.26,2.650270875
APR 026,Amazon,-3.028,APR,Amazonas,Low latitude,3.0713,989.4395461,3.232358074,859.51,2.807896753
APR 027,Amazon,-3.028,APR,Amazonas,Low latitude,3.1689,1030.868193,3.367699562,906.4,2.961079704
APR 028,Amazon,-3.028,APR,Amazonas,Low latitude,3.02,977.5571595,3.19354001,847.4,2.768335107
APR 029,Amazon,-3.028,APR,Amazonas,Low latitude,3.0208,974.7731097,3.184444915,851.18,2.780683829
APR 030,Amazon,-3.028,APR,Amazonas,Low latitude,2.8665,933.2114115,3.048668767,811.03,2.649519498
APR 031,Amazon,-3.028,APR,Amazonas,Low latitude,3.0515,988.9965388,3.230910833,871.6,2.847393061
APR 032,Amazon,-3.028,APR,Amazonas,Low latitude,3.028,988.5070328,3.229311686,855.11,2.793522579
APR 033,Amazon,-3.028,APR,Amazonas,Low latitude,2.8336,928.6410253,3.033737966,822.8,2.687970411
APR 034,Amazon,-3.028,APR,Amazonas,Low latitude,2.8192,915.3587779,2.990346756,796.74,2.602836103
APR 035,Amazon,-3.028,APR,Amazonas,Low latitude,2.8672,926.9515795,3.028218787,794.4,2.595191656
APR 036,Amazon,-3.028,APR,Amazonas,Low latitude,3.309,1076.439716,3.516575237,956.25,3.123932554
APR 037,Amazon,-3.028,APR,Amazonas,Low latitude,2.8517,929.7362736,3.037315986,812.52,2.654387115
APR 038,Amazon,-3.028,APR,Amazonas,Low latitude,2.9886,960.6686774,3.138367744,835.33,2.728904137
APR 039,Amazon,-3.028,APR,Amazonas,Low latitude,3.0091,979.4872285,3.19984527,861.5,2.814397799
APR 040,Amazon,-3.028,APR,Amazonas,Low latitude,2.791,910.6863853,2.975082714,798.78,2.609500492
APR 041,Amazon,-3.028,APR,Amazonas,Low latitude,3.3794,1099.249814,3.59109258,987.77,3.226903905
APR 043,Amazon,-3.028,APR,Amazonas,Low latitude,2.734,894.0051626,2.920587536,791.59,2.586011786
APR 044,Amazon,-3.028,APR,Amazonas,Low latitude,3.0643,995.9451638,3.253611001,875.29,2.859447765
APR 045,Amazon,-3.028,APR,Amazonas,Low latitude,2.7603,894.8448942,2.923330819,779.04,2.545012724
APR 046,Amazon,-3.028,APR,Amazonas,Low latitude,2.8718,927.5003628,3.030011584,814.19,2.659842767
APR 047,Amazon,-3.028,APR,Amazonas,Low latitude,2.9877,978.6957569,3.197259645,865.37,2.827040538
APR 048,Amazon,-3.028,APR,Amazonas,Low latitude,2.9645,952.6532988,3.112182644,848.12,2.770687245
APR 049,Amazon,-3.028,APR,Amazonas,Low latitude,3.2936,1057.494354,3.454683437,922.65,3.01416614
APR 050,Amazon,-3.028,APR,Amazonas,Low latitude,2.7205,898.8783609,2.936507581,796.39,2.601692703
APR 052,Amazon,-3.028,APR,Amazonas,Low latitude,2.7967,902.1387408,2.947158777,793.05,2.590781398
APR 053,Amazon,-3.028,APR,Amazonas,Low latitude,3.102,1003.871736,3.279505982,877.13,2.865458783
RPV 001,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.6333,859.7607002,2.808715754,762.82,2.492024294
RPV 002,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.1247,1016.723168,3.321489781,878.05,2.868464292
RPV 003,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.2397,1055.915643,3.449526016,942.76,3.079862646
RPV 004,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.8935,939.6294687,3.069635646,834.27,2.725441268
RPV 005,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.9023,943.1483283,3.081131259,818.9,2.675229667
RPV 006,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.9291,953.5752965,3.115194679,833.09,2.721586376
RPV 007,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.8655,933.2229513,3.048706466,835.36,2.729002142
RPV 008,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0936,1012.996469,3.309315186,883.92,2.887640746
RPV 009,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.978,957.8128932,3.129038304,829.37,2.709433665
RPV 010,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.8886,943.7484182,3.083091667,827.05,2.701854556
RPV 011,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.9577,953.473488,3.114862085,819.13,2.675981044
RPV 012,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.9869,966.7146584,3.158119103,851.84,2.782839955
RPV 014,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0855,992.823712,3.243413662,856.33,2.797508146
RPV 015,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0409,987.0582556,3.224578737,870.28,2.843080809
RPV 016,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.5153,828.7008368,2.707247605,723.64,2.364028814
RPV 017,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.8236,922.5170417,3.013731784,797.58,2.605580263
RPV 018,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0539,995.9681027,3.253685939,886.35,2.89557921
RPV 019,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.9977,979.1430319,3.198720829,890.62,2.909528692
RPV 020,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.52,824.0752393,2.692136436,726.02,2.371803935
RPV 021,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.08,987.9015834,3.227333769,851.84,2.782839955
RPV 022,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0086,983.1760935,3.211896267,860.5,2.811130942
RPV 023,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.1525,1019.83332,3.331650204,893.2,2.917957184
RPV 024,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.1929,1037.637257,3.389813131,918.8,3.001588738
RPV 025,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.1198,1011.118193,3.303179126,878.56,2.870130389
RPV 026,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.9795,962.403162,3.144034058,845.99,2.763728838
RPV 027,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0598,982.2537664,3.208883155,864.41,2.823904355
RPV 028,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0264,981.7128673,3.207116115,861.68,2.814985834
RPV 030,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0664,991.7465557,3.239894746,857.83,2.802408432
RPV 031,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.7333,890.4189161,2.908871779,784.79,2.563797155
RPV 032,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.7956,909.6622366,2.971736966,794.14,2.594342273
RPV 033,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.8132,915.7335017,2.991570925,808.61,2.641613702
RPV 034,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.8021,925.8934147,3.024761914,822.43,2.686761674
RPV 035,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.9361,951.5451402,3.108562447,827.3,2.70267127
RPV 036,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.8087,915.4278529,2.990572414,801.91,2.619725756
RPV 037,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.1236,1002.164197,3.273927695,865.47,2.827367224
RPV 038,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.9747,966.5598792,3.157613461,841.75,2.749877362
RPV 039,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.8917,939.0153599,3.06762944,821.59,2.684017513
RPV 040,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.9977,967.0974814,3.159369731,841.45,2.748897305
RPV 041,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.6988,873.1828604,2.85256404,754.75,2.465660753
RPV 042,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.6089,857.0414226,2.799832262,765.61,2.501138827
RPV 043,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0003,970.9098825,3.171824303,848.88,2.773170057
RPV 044,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.0578,983.7009395,3.213610864,855.91,2.796136065
RPV 045,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.1467,1028.16588,3.358871492,923.5,3.016942969
RPV 046,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.7642,901.5919254,2.945372409,792.8,2.589964684
RPV 047,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.298,1054.096624,3.443583538,917.11,2.996067749
RPV 048,Amazon,-8.742,RPV,Rondonia,Mid latitude,3.1064,1012.381579,3.307306428,895.89,2.926745031
RPV 049,Amazon,-8.742,RPV,Rondonia,Mid latitude,2.9792,960.6207128,3.13821105,836.24,2.731876977
RMO 001,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.7333,890.6539516,2.909639607,786.54,2.569514156
RMO 002,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.8968,934.8047925,3.053874116,820.61,2.680815993
RMO 003,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.9909,972.4960747,3.177006167,861.18,2.813352405
RMO 004,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.9065,941.8919585,3.077026878,823.24,2.689407828
RMO 005,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.2766,1055.539891,3.448298487,910.41,2.974179803
RMO 006,Amazon,-9.223,RMO,Rondonia,Mid latitude,3.2156,1032.357049,3.372563444,889.12,2.904628405
RMO 007,Amazon,-9.223,RMO,Rondonia,Mid latitude,2.9575,958.5210563,3.131351772,832.53,2.719756935
