"","ID","Biome","Latitude","Locality","Length.mm","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9","x10","y10","x11","y11","x12","y12","x13","y13"
"1","APR 011","Amazon",-3.028,"APR",3.3015,0.67297266,1.470085908,3.769953639,1.163001296,3.867959367,1.257740166,2.825831801,1.195669872,3.9038948,1.336144747,3.874493082,1.430883617,3.734018206,1.545223632,3.01530954,1.499487626,3.551074182,1.662830505,3.221121567,1.77717052,1.849041386,1.528889344,2.747427219,1.894777392,2.211662577,1.943780256
"2","APR 019","Amazon",-3.028,"APR",3.0202,1.136866435,1.506021341,4.001900527,1.45375162,4.070504536,1.541956775,3.116582125,1.430883617,4.109706827,1.639962502,4.073771394,1.728167656,3.975765666,1.80330538,3.23092214,1.721633941,3.773220497,1.89804425,3.45960217,1.986249404,2.201862004,1.643229359,3.00224211,2.045052841,2.482811756,2.038519126
"3","APR 029","Amazon",-3.028,"APR",3.0208,1.068262426,1.715100226,3.926762803,1.666097362,3.992099954,1.751035659,3.11004841,1.626895071,4.018234815,1.852308244,4.008434242,1.937246541,3.900627942,2.015651123,3.204787279,1.927445968,3.67521477,2.116923707,3.358329585,2.198595147,2.156125998,1.852308244,2.92057067,2.267199156,2.414207747,2.254131725
"4","APR 040","Amazon",-3.028,"APR",2.791,1.427616759,1.486420196,4.109706827,1.502754484,4.148909118,1.56155792,3.312593579,1.430883617,4.168510263,1.649763074,4.139108545,1.741235086,4.067237679,1.796771665,3.430200452,1.718367083,3.894094227,1.891510535,3.636012479,1.963381401,2.43707575,1.623628214,3.103514694,2.015651123,2.682090068,1.999316835
"5","APR 050","Amazon",-3.028,"APR",2.7205,0.908186405,1.189136157,3.475936458,1.081329857,3.544540467,1.163001296,2.652688349,1.064995569,3.577209043,1.257740166,3.55434104,1.33287789,3.469402743,1.404748756,2.78662951,1.342678463,3.279925003,1.496220768,2.979374107,1.600760211,1.816372811,1.277341311,2.535081477,1.662830505,2.038519126,1.666097362
"6","ARS 003","Amazon",-2.864,"ARS",3.0057,0.836315539,1.489687053,3.678481627,1.404748756,3.740551921,1.489687053,2.848699804,1.368813323,3.763419924,1.604027068,3.737285064,1.692232223,3.645813052,1.764103089,3.038177543,1.702032796,3.456335312,1.862108817,3.139450128,1.953580829,1.973181974,1.613827641,2.672289495,2.03198541,2.172460286,2.00585055
"7","ARS 008","Amazon",-2.864,"ARS",3.0717,1.283875026,2.041785983,4.181577694,1.950313971,4.24038113,2.038519126,3.260323858,1.920912253,4.273049706,2.12672428,4.263249133,2.218196292,4.155442833,2.293334016,3.420399879,2.201862004,3.959431379,2.371738598,3.662147339,2.46321061,2.35540431,2.159392856,3.139450128,2.538348334,2.639620919,2.55794948
"8","ARS 010","Amazon",-2.864,"ARS",3.2727,1.038860708,1.66936422,4.148909118,1.68243165,4.207712554,1.783704235,3.162318131,1.626895071,4.243647987,1.891510535,4.230580557,1.982982547,4.13257483,2.071187701,3.289725576,1.966648259,3.881026797,2.175727144,3.524939321,2.276999728,2.188794574,1.852308244,2.963039819,2.319468877,2.499146043,2.309668304
"9","ARS 016","Amazon",-2.864,"ARS",2.8353,0.803646963,1.633428787,3.498804461,1.489687053,3.551074182,1.568091635,2.731092931,1.470085908,3.577209043,1.65629679,3.551074182,1.754302517,3.449801597,1.829440241,2.861767234,1.770636805,3.266857573,1.924179111,2.979374107,2.01891798,1.822906526,1.718367083,2.538348334,2.10058942,2.022184838,2.11365685
"10","ARS 020","Amazon",-2.864,"ARS",2.8733,1.23813902,1.143400151,3.975765666,1.179335584,4.028035388,1.254473308,3.12311584,1.094397287,4.057437106,1.349212178,4.028035388,1.424349902,3.943097091,1.492953911,3.250523285,1.394948184,3.743818779,1.57462535,3.456335312,1.646496217,2.263932298,1.274074454,2.976107249,1.692232223,2.541615192,1.692232223
"11","RMO 012","Amazon",-9.223,"RMO",2.9569,1.087863572,1.202203587,3.91696223,1.169535011,3.962698236,1.23813902,3.11004841,1.123799005,3.988833097,1.31981046,3.962698236,1.408015614,3.9038948,1.470085908,3.24398957,1.427616759,3.720950776,1.581159065,3.413866164,1.679164793,2.146325426,1.349212178,2.966306676,1.747768802,2.479544898,1.757569374
"12","RMO 020","Amazon",-9.223,"RMO",3.1087,0.849382969,1.65629679,3.818956503,1.401481899,3.881026797,1.476619623,2.917303813,1.391681326,3.900627942,1.555024205,3.9038948,1.646496217,3.802622215,1.724900799,3.044711258,1.688965365,3.613144476,1.832707099,3.299526149,1.953580829,1.963381401,1.708566511,2.802963798,2.061387129,2.322735734,2.11365685
"13","RMO 024","Amazon",-9.223,"RMO",3.1029,0.774245245,2.433808892,3.734018206,2.198595147,3.7960885,2.267199156,2.81276437,2.211662577,3.835290791,2.361938025,3.818956503,2.453410037,3.698082773,2.551415765,3.054511831,2.518747189,3.518405606,2.659222065,3.208054137,2.783362652,1.868642532,2.508946616,2.704958071,2.881368379,2.205128862,2.917303813
"14","RMO 029","Amazon",-9.223,"RMO",3.0714,1.055194996,1.620361356,3.972498809,1.509288199,4.034569103,1.594226496,3.090447264,1.473352765,4.057437106,1.68243165,4.047636533,1.773903662,3.969231951,1.852308244,3.24398957,1.780437377,3.789554785,1.950313971,3.456335312,2.067920844,2.143058568,1.728167656,2.949972389,2.152859141,2.479544898,2.159392856
"15","RMO 037","Amazon",-9.223,"RMO",3.156,1.058461854,1.956847686,4.044369676,1.721633941,4.109706827,1.80330538,3.165584988,1.741235086,4.135841688,1.894777392,4.129307972,1.989516262,4.028035388,2.080988274,3.276658146,2.022184838,3.848358221,2.201862004,3.518405606,2.319468877,2.162659713,2.012384265,3.047978116,2.410940889,2.508946616,2.43707575
"16","RPV 009","Amazon",-8.742,"RPV",2.978,0.712174951,1.084596714,3.557607897,0.980057272,3.616411333,1.055194996,2.760494649,0.953922411,3.632745621,1.156467581,3.606610761,1.251206451,3.508605034,1.323077317,2.887902095,1.264273881,3.319127294,1.417816187,3.021843255,1.509288199,1.826173383,1.185869299,2.58408434,1.597493353,2.107123135,1.604027068
"17","RPV 018","Amazon",-8.742,"RPV",3.0539,1.270807596,1.587692781,4.171777121,1.486420196,4.246914845,1.587692781,3.302793006,1.463552193,4.279583421,1.672631077,4.259982275,1.760836232,4.139108545,1.839240814,3.423666737,1.754302517,3.926762803,1.930712826,3.596810188,2.025451695,2.322735734,1.685698508,3.129649555,2.097322562,2.642887777,2.097322562
"18","RPV 025","Amazon",-8.742,"RPV",3.1198,1.228338447,1.894777392,4.194645124,1.773903662,4.263249133,1.862108817,3.328927867,1.744501944,4.279583421,1.940513398,4.259982275,2.025451695,4.168510263,2.10058942,3.469402743,2.045052841,3.982299382,2.211662577,3.668681055,2.319468877,2.348870595,1.996049977,3.159051273,2.388072886,2.626553489,2.394606601
"19","RPV 037","Amazon",-8.742,"RPV",3.1236,1.257740166,1.541956775,4.191378266,1.512555056,4.25344856,1.607293926,3.312593579,1.46681905,4.299184566,1.702032796,4.282850278,1.783704235,4.184844551,1.865375674,3.469402743,1.783704235,3.982299382,1.960114544,3.652346767,2.061387129,2.371738598,1.685698508,3.194986707,2.129991138,2.69189064,2.11365685
"20","RPV 045","Amazon",-8.742,"RPV",3.1467,0.67297266,1.35901275,3.691549058,1.261007023,3.734018206,1.326344175,2.793163225,1.221804732,3.753619352,1.417816187,3.750352494,1.499487626,3.655613624,1.581159065,2.874834664,1.506021341,3.449801597,1.679164793,3.106781552,1.786971092,1.751035659,1.457018478,2.597151771,1.868642532,2.107123135,1.878443105
"21","SJU 001","Mata Atlantica",-22.611,"SJU",3.6804,0.535764642,1.617094499,3.998633669,1.489687053,4.073771394,1.581159065,3.031643828,1.483153338,4.122774257,1.69549908,4.099906254,1.79023795,3.982299382,1.88497682,3.132916413,1.813105953,3.734018206,2.002583692,3.33872844,2.120190565,1.780437377,1.741235086,2.783362652,2.205128862,2.224730007,2.214929435
"22","SJU 004","Mata Atlantica",-22.611,"SJU",3.3735,0.895118975,1.88497682,4.103173112,1.862108817,4.184844551,1.979715689,3.188452991,1.835973956,4.204445697,2.084255132,4.165243406,2.172460286,4.067237679,2.254131725,3.335461582,2.175727144,3.848358221,2.371738598,3.485737031,2.479544898,2.090788847,2.048319698,2.953239246,2.538348334,2.414207747,2.531814619
"23","SJU 009","Mata Atlantica",-22.611,"SJU",3.5691,0.88858526,1.77717052,4.302451424,1.528889344,4.367788575,1.626895071,3.204787279,1.496220768,4.380856006,1.721633941,4.357988003,1.809839096,4.250181703,1.89804425,3.44653474,1.839240814,4.047636533,2.002583692,3.681748485,2.129991138,2.087521989,1.780437377,3.11004841,2.218196292,2.593884913,2.23453058
"24","SJU 011","Mata Atlantica",-22.611,"SJU",3.5032,0.868984114,1.702032796,4.230580557,2.009117407,4.273049706,2.103856277,3.211320994,1.822906526,4.269782848,2.182260859,4.2273137,2.267199156,4.13257483,2.34233688,3.33872844,2.178994001,3.920229088,2.420741462,3.531473037,2.492612328,2.087521989,1.953580829,2.972840392,2.515480331,2.459943753,2.486078613
"25","SJU 012","Mata Atlantica",-22.611,"SJU",3.3777,0.770978387,1.914378538,4.001900527,1.698765938,4.070504536,1.793504808,3.067579261,1.685698508,4.077038251,1.888243677,4.060703963,1.996049977,3.952897663,2.074454559,3.191719849,1.999316835,3.779754212,2.162659713,3.410599306,2.270466013,1.933979683,1.953580829,2.842166089,2.345603737,2.371738598,2.391339744
"26","TLC 026","Cerrado",-10.7,"TLC",3.251,1.182602441,1.973181974,4.24038113,1.57462535,4.312251997,1.646496217,3.299526149,1.636695644,4.357988003,1.747768802,4.351454287,1.842507671,4.25344856,1.950313971,3.479203315,1.937246541,4.050903391,2.074454559,3.714417061,2.208395719,2.306401447,1.966648259,3.224388425,2.316202019,2.727826074,2.375005456
"27","TLC 036","Cerrado",-10.7,"TLC",2.7652,1.509288199,1.705299653,4.112973685,1.617094499,4.165243406,1.688965365,3.381197588,1.590959638,4.194645124,1.796771665,4.175043978,1.881709962,4.070504536,1.963381401,3.407332449,1.862108817,3.881026797,2.061387129,3.616411333,2.133257995,2.381539171,1.79023795,3.152517558,2.192061432,2.704958071,2.192061432
"28","TLC 049","Cerrado",-10.7,"TLC",3.2156,0.865717257,1.460285335,3.907161657,1.182602441,3.962698236,1.247939593,2.891168952,1.22507159,4.005167385,1.33287789,3.988833097,1.45375162,3.884293654,1.538689917,3.116582125,1.512555056,3.662147339,1.659563647,3.345262155,1.77717052,1.989516262,1.509288199,2.819298086,1.875176247,2.312935162,1.904577965
"29","TLC 075","Cerrado",-10.7,"TLC",3.0479,1.195669872,1.649763074,4.096639397,1.639962502,4.152175975,1.718367083,3.286458719,1.587692781,4.171777121,1.809839096,4.148909118,1.901311108,4.060703963,1.969915117,3.358329585,1.881709962,3.861425651,2.061387129,3.544540467,2.149592283,2.263932298,1.80330538,3.057778688,2.201862004,2.515480331,2.182260859
"30","TLC 082","Cerrado",-10.7,"TLC",3.1472,0.823248108,1.44068419,3.818956503,1.215271017,3.881026797,1.296942457,2.959772961,1.231605305,3.907161657,1.398215041,3.89082737,1.483153338,3.825490218,1.54849049,3.064312404,1.515821914,3.619678191,1.66936422,3.273391288,1.786971092,1.950313971,1.522355629,2.767028364,1.871909389,2.237797438,1.894777392
"31","TPN 002","Cerrado",-10.796,"TPN",3.0363,1.254473308,1.545223632,4.142375403,1.483153338,4.201178839,1.564824778,3.270124431,1.44068419,4.224046842,1.662830505,4.201178839,1.744501944,4.099906254,1.822906526,3.394265018,1.747768802,3.9038948,1.920912253,3.606610761,1.999316835,2.290067159,1.66936422,3.132916413,2.077721416,2.633087204,2.074454559
"32","TPN 006","Cerrado",-10.796,"TPN",3.0177,1.012725848,1.643229359,3.89082737,1.519088771,3.943097091,1.590959638,2.985907822,1.479886481,3.965965094,1.672631077,3.943097091,1.747768802,3.841824506,1.826173383,3.139450128,1.77717052,3.665414197,1.940513398,3.358329585,2.038519126,2.041785983,1.69549908,2.878101522,2.129991138,2.414207747,2.13979171
"33","TPN 011","Cerrado",-10.796,"TPN",3.1688,0.797113248,1.355745893,3.80915593,1.146667008,3.881026797,1.228338447,2.959772961,1.159734438,3.900627942,1.326344175,3.877759939,1.414549329,3.769953639,1.499487626,3.074112976,1.470085908,3.596810188,1.604027068,3.250523285,1.721633941,1.904577965,1.427616759,2.753960934,1.826173383,2.270466013,1.842507671
"34","TPN 016","Cerrado",-10.796,"TPN",3.1378,1.169535011,1.891510535,4.122774257,1.555024205,4.197911981,1.653029932,3.263590716,1.587692781,4.220779984,1.731434514,4.210979412,1.832707099,4.129307972,1.904577965,3.394265018,1.894777392,3.910428515,2.041785983,3.613144476,2.152859141,2.263932298,1.88497682,3.129649555,2.270466013,2.613486058,2.319468877
"35","TPN 018","Cerrado",-10.796,"TPN",2.9385,0.999658417,1.672631077,3.792821642,1.476619623,3.858158794,1.564824778,2.989174679,1.483153338,3.874493082,1.639962502,3.858158794,1.718367083,3.766686782,1.800038523,3.119848982,1.764103089,3.600077046,1.901311108,3.306059864,2.022184838,2.061387129,1.747768802,2.829098658,2.107123135,2.332536307,2.143058568
